file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-61.1,56.0,102.0,124.57172557172557,,,,143.0,720.0,6.0,7.0,4.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,46.951388888888886,54.0,,,,,,,,,2000.0,-7376.0499999999965,-51.22256944444444,156.22037422037425,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_trace.csv,144,,,-115.3,102.0,133.0,148.59667359667358,,,,143.0,720.0,3.0,4.0,4.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_no_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,42.55555555555556,63.0,,,,,,,,,2000.0,-7297.300000000004,-50.675694444444446,152.40332640332642,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_default_reward/q_learning_trace.csv,144,,,-40.0,40.0,88.0,144.6070686070686,,,,143.0,720.0,6.0,7.0,3.0,3.0,3.0,1.0,,,,,,6.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_default_reward/q_learning_training.csv,2000,,,,,,,,42.21527777777778,38.0,,,,,,,,,2000.0,-6079.0,-42.21527777777778,153.8066528066528,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_trace.csv,144,,,1.0,42.0,93.0,116.0914760914761,,,,143.0,720.0,0.0,1.0,3.0,3.0,3.0,2.0,,,,,,0.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,28.208333333333332,32.0,,,,,,,,,2000.0,-32.0,-0.2222222222222222,125.42619542619542,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-40.35,35.0,107.0,161.7920997920998,,,,143.0,720.0,1.0,2.0,4.0,4.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,44.979166666666664,79.0,,,,,,,,,2000.0,-7094.750000000001,-49.26909722222222,150.86070686070687,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_wait_vehicle/q_learning_trace.csv,144,,,-63.1,53.0,101.0,141.75467775467774,,,,143.0,720.0,7.0,8.0,4.0,3.0,1.0,1.0,,,,,,7.0,,,,,,,,,,,,,,,
